name,number,num
AUTOKONTROL LIMITED,4077820,6856133
AUTOOL GRINDERS LIMITED,4105508,10336781
ABC INDUSTRIAL DOORS LIMITED,4122111,10985969
ANTHONY JAMES (ST HELENS) LTD,4124313,7880778
ANALOG IMPLANT LABORATORY LIMITED,4126138,8843372
ARENA PROTECTIVE COATINGS LIMITED,4133663,9864828
AIRMEC DESIGN LIMITED,4139640,5350310
AMR TEXTILES LIMITED,4140877,5547525
ATLAS PLASTICS & FABRICATIONS LTD,4149293,9602123
ASFAB LIMITED,4156326,10416789
ASH SIGNS & ENGRAVING LIMITED,4157968,8256115
AIGUILLE LIMITED,4158286,3532220
ALGON LTD,4163896,9760604
ALTRATECH LIMITED,4171252,4759714
ARTKO LIMITED,4198396,1583708
ANDERSEN TEXTILES LTD,4203564,10490714
ALDERTECH ENGINEERING LIMITED,4243883,2164843
ANALYTICAL TECHNOLOGY INTERNATIONAL LIMITED,4246481,11518615
ANDELL CONVEYOR CHAINS LIMITED,4256901,5781172
AIS PROJECTS LIMITED,4266687,6576365
ANDY RILEY MARINE LIMITED,4271684,4391901
ADVANCED MANUFACTURING SERVICES LTD,4300336,3197046
A & J SCIENTIFIC LIMITED,4304279,8537096
ALERTIS LTD,4307806,11334772
ATHERTON ENGINEERING LIMITED,4308866,9013518
ASHTON PHOTOGRAPHICS LIMITED,4326253,10131588
ANODISERS RUNCORN LIMITED,4384406,386940
ASPDEN TIMBER SERVICES LIMITED,4388276,5472410
ACADEMY LIFTS LIMITED,4391901,5829483
ANTONY SIMON LTD,4394033,8727805
A1 JOINERY LIMITED,4401215,9241449
AIDAPT (WALES) LIMITED,4425507,2372725
AHM PACKAGING LIMITED,4444643,6675236
ASHWORTH BROTHERS (NELSON) LTD,4444828,5705253
ATKIN MACHINE TOOL MAINTENANCE LTD,4445299,4831491
AUTOMET LIMITED,4448557,10576753
ACTIVE DESIGNS & IDEAS LIMITED,4451287,3678552
ALLIED PAPER TECHNICAL SERVICES LIMITED,4453214,5875272
APOLLO CUTTING TOOLS LIMITED,4460506,1272660
ALPHA SHEET METAL LIMITED,4462438,4016854
ALBANY LIGHTING LIMITED,4464487,5980916
AUTOSAFE 2000 LIMITED,4468729,9010320
AQUACULTURE EQUIPMENT LIMITED,4470461,2032074
AUTOREG LIMITED,4470893,8899054
ASHWORTH UPHOLSTERERS LIMITED,4484247,3350459
ABBEY ELECTRICAL (CUMBRIA) LIMITED,4499675,8088833
AIREDALE TREE SURGEONS LIMITED,4500387,6174996
ALLBRITE WINDOWS LIMITED,4502944,1191420
A & M NELSON LIMITED,4503274,9028029
A & K ENGINEERING SERVICES LTD,4521123,10277800
AZTEC OFFICE CONTRACTS LTD,4521418,8014664
ATP CONSULTANTS LIMITED,4524163,11245288
A.W. ENGINEERING (DARWEN) LIMITED,4524635,8896867
ALUMINIUM ACCESS PRODUCTS LIMITED,4534524,6235025
ALLERGAN BIOLOGICS LIMITED,4543737,8962013
AUDIO MAINTENANCE LIMITED,4551807,10802871
ABC UPHOLSTERY LIMITED,4555613,3224139
AUSTIN WALMSLEY LTD,4556651,3415436
ANDREW SHORT CABINET MAKERS LIMITED,4557001,10897481
AQUABOND LIMITED,4565587,8679635
APOLLO PRINT SERVICES LIMITED,4568295,10265705
A1 FIR TRADE WINDOWS & DOORS LIMITED,4571099,1758253
ARCOFRAME LTD,4572907,4043946
AJP ENGINEERING LIMITED,4575211,7667013
ACTIKEM LTD,4577937,10603665
ALEX PHILLIPS PRINTING SERVICES LIMITED,4585014,8316151
ALAN GRICE STAIRCASE COMPANY LIMITED,4588332,9920608
A & D SPORTS LIMITED,4590002,11469566
ALTAIR SYSTEMS LIMITED,4596144,7979944
AFH CABINET MAKERS LIMITED,4598010,11103688
ADVANCED PIPELINE REHABILITATION TECHNOLOGIES LTD.,4600686,2073610
ANTHONY NIXON FURNITURE LIMITED,4600940,9246672
ALL ELECTRICAL SERVICES (NORTH WEST) LIMITED,4601387,11368962
AGEUS TECHNOLOGY LIMITED,4605183,3934046
ALDRIDGE FURNISHINGS LIMITED,4615114,7759589
A T SET & STAGE LIMITED,4619724,4689785
ADVANCED TOOL AND DIE COMPANY LIMITED,4626038,4037635
AD4 DESIGN LIMITED,4632511,8781306
AB COMPRESSORS LIMITED,4637848,11351890
ALLSPEEDS LIMITED,4639403,5441232
AZTEX DESIGNS LIMITED,4640550,5583187
AT KINETICS LIMITED,4643131,9939243
AIRCONCO LIMITED,4645677,8007609
AVOCA TECHNICAL LIMITED,4651209,5582982
ASHWORTH SPRINGS LIMITED,4660075,728049
ALLIEDTROPIC LIMITED,4676006,6820758
A. D. WELDING LIMITED,4677862,11219683
A MADEN AUTOMOTIVE PROTOTYPES LIMITED,4683115,11488306
APPLIED STORAGE PRODUCTS LIMITED,4686460,11478382
ALLENCO LIMITED,4689778,11472272
ACORN PRINT SERVICES LIMITED,4689785,11469546
A S PLASTICS LTD,4692415,539360
A.J. JOHNSON LIMITED,4693127,4577937
ARTECH REDUCTION TECHNOLOGIES LIMITED,4696842,3442946
AUTOMETERS SYSTEMS LIMITED,4714588,7414168
ANGUILLA SOLUTIONS LIMITED,4721337,5906590
A.R.B. BUILDERS & JOINERS LIMITED,4730811,7659147
ABBA BEEL PRIVATE LIMITED COMPANY,4731756,4451287
ARMADILLO SAFETY PRODUCTS LIMITED,4740983,3229919
A1 MACHINE TOOLS LIMITED,4743793,1929349
AUSTIN GROUPING LIMITED,4746529,8882222
ABSTRACT CREATIVE SCREENPRINTERS LIMITED,4759714,8235770
AGRICULTURAL REPAIR SERVICES LIMITED,4767674,5036241
ABBEY ENGINEERING (WHALLEY) LIMITED,4767875,11096879
A B WINDOWS & JOINERY LIMITED,4769909,4632511
APPLICATION TAPE COMPANY LIMITED,4771213,6222441
A. ALLEN CONSERVATION & RESTORATION LIMITED,4771342,11445418
ARGYLE ENGINEERING SERVICES LIMITED,4774142,9437121
AMES DRAYCOTT LIMITED,4774197,9941083
A. KENNY & SONS LIMITED,4776526,7685901
A T PLANT SERVICES LTD,4779898,3814338
ASTUTE MUSIC LIMITED,4795474,7421002
ASPECTS OF GLASS LIMITED,4814228,9903898
ARGYLE STREET JOINERY LIMITED,4819175,367171
ALLGAS SERVICES LIMITED,4821695,9816376
